Week,Goud,Overig,Liquiditeitsoperaties aan banken,Opkoopprogramma's
25/01/2011,367432,653196,477514,462980
01/02/2011,367431,638186,494825,465126
08/02/2011,367431,638408,542912,466848
15/02/2011,367432,643332,477663,467716
22/02/2011,367432,650490,471482,469087
01/03/2011,367433,656673,458415,469757
08/03/2011,367432,653480,447045,471262
15/03/2011,367432,659438,454249,471899
22/03/2011,367433,659024,443483,470438
29/03/2011,367436,654243,435692,470684
05/04/2011,350667,642763,424041,471025
12/04/2011,350668,643157,407660,471626
19/04/2011,350672,645514,418409,470422
26/04/2011,350668,643820,421478,471916
03/05/2011,350668,637115,434259,472059
10/05/2011,350668,635801,443962,471419
17/05/2011,350668,637100,438184,472713
24/05/2011,350669,640996,432747,471458
31/05/2011,350669,639696,437547,472698
07/06/2011,350669,638319,432134,477867
14/06/2011,350670,640152,423876,477881
21/06/2011,350670,641362,445945,476561
28/06/2011,350670,645161,497523,478820
05/07/2011,363251,641167,455154,485011
12/07/2011,363252,636793,433248,486208
19/07/2011,363252,643426,465156,485360
26/07/2011,363251,649742,508610,484458
02/08/2011,363250,655495,497371,484355
09/08/2011,363250,666128,505125,469787
16/08/2011,363250,669794,548052,491930
23/08/2011,363252,670033,538694,504668
30/08/2011,363248,673479,524581,510325
06/09/2011,363248,673068,513772,523034
13/09/2011,363249,676378,507519,539218
20/09/2011,363249,689706,534638,547128
27/09/2011,363249,693409,571294,552123
04/10/2011,420005,723118,588786,556662
11/10/2011,419824,734471,580690,560742
18/10/2011,419823,741972,586619,562443
25/10/2011,419824,740896,585241,567214
01/11/2011,419825,745767,596442,571339
08/11/2011,419825,750304,580036,578388
15/11/2011,419823,753244,589242,581238
22/11/2011,419823,757463,625489,590575
29/11/2011,419822,757374,641425,600927
06/12/2011,419822,754108,656026,605732
13/12/2011,419822,791682,642616,606693
20/12/2011,419821,798813,665008,610164
27/12/2011,419822,823654,879130,610629
03/01/2012,423458,829965,863568,618637
10/01/2012,423455,809469,835978,618969
17/01/2012,423451,813239,817255,623042
24/01/2012,423450,827049,831730,623968
31/01/2012,423446,825033,809248,624849
07/02/2012,423446,820473,794978,623229
14/02/2012,423446,820784,787255,624299
21/02/2012,423445,818805,796332,624679
28/02/2012,423445,822997,819682,626474
06/03/2012,423445,837648,1130352,631714
13/03/2012,423449,832938,1118273,631122
20/03/2012,423449,782914,1149485,630446
27/03/2012,423450,777254,1155888,626257
03/04/2012,432705,750658,1153584,627480
10/04/2012,432706,750194,1154483,627950
17/04/2012,432706,766460,1147981,627712
24/04/2012,432706,782015,1142714,609674
01/05/2012,432705,781739,1139372,608287
08/05/2012,432705,803299,1117090,607223
15/05/2012,432705,807143,1124082,607585
22/05/2012,432704,810852,1127017,604688
29/05/2012,432704,840767,1101736,605103
05/06/2012,432703,849260,1115517,605113
12/06/2012,432702,786257,1185060,605665
19/06/2012,432701,784999,1206289,603316
26/06/2012,432701,782224,1240525,602442
03/07/2012,433779,805268,1260858,602322
10/07/2012,433779,805897,1243549,601781
17/07/2012,433780,814856,1248517,602493
24/07/2012,433779,802572,1241265,602133
31/07/2012,433777,850948,1207579,601840
07/08/2012,433778,839525,1209403,602508
14/08/2012,433778,839581,1210735,602728
21/08/2012,433778,841021,1208269,602777
28/08/2012,433779,838823,1208236,599614
04/09/2012,433778,841866,1209827,599298
11/09/2012,433778,835711,1205288,598717
18/09/2012,433778,830977,1197841,598416
25/09/2012,433779,830919,1187200,597641
02/10/2012,479292,827301,1178184,597655
09/10/2012,479106,824301,1162312,596870
16/10/2012,479106,829458,1148612,596465
23/10/2012,479107,822882,1150496,594084
30/10/2012,479107,840555,1135148,591733
